"huc12","areasqkm"
"040500030909",90.2632937465
"040500040506",126.898829571
"040500070211",60.1902805358
"040500070104",79.1562855379
"040900030201",42.8974927748
"040500040505",80.2264746363
"040500040702",135.744410308
"040802030101",99.8762667435
"040500040409",47.5225129005
"040500020101",49.1990467742
"040900030108",123.519359194
"040500040406",45.8019844873
"040500070403",95.2122833573
"040500040405",60.3024614622
"040900050102",89.4365845114
"040500030911",60.8912521462
"040500070206",65.8343123366
"040500040410",54.0314636252
"040500070402",73.3317006225
"040500070203",51.8021756869
"040500040401",62.1063328259
"040900030402",85.9417089125
"040500040502",49.2615573128
"040500070105",54.5268366807
"040900030309",60.0113855769
"040900050104",63.5810732796
"040500040403",55.8582987545
"040500030912",44.8915198217
"040900020106",47.5119180059
"040500030808",84.2133033149
"040500070208",80.5808382012
"040500040507",67.5811883958
"040900030111",69.8536850746
"040500030802",55.5198950624
"040500030701",88.6397940081
"040900030311",45.1538621051
"040500070103",55.5570282257
"040900020104",11.2676729873
"040900020101",73.6275690924
"040802030104",104.893038716
"040500040703",61.7609239051
"040500030810",52.8608742149
"040500030811",96.4730386518
"040802030103",42.3054310447
"040500070201",62.6833199809
"040900050101",53.2016820777
"040500070404",100.756123904
"040900030103",66.4314312346
"040500040411",49.0892414574
"040500040707",46.1832106682
"040500040508",72.619930712
"040900030312",49.2821407028
"040900030307",56.4416522632
"040802030106",153.464609261
"040500040503",85.6525110031
"040900020104",47.3799490822
"040900020102",47.4996967185
"040500020301",12.247947821
"040500030807",60.7653826811
"040500070406",84.7346287393
"040900030110",85.4324545364
"040500070302",52.4091610173
"040500020402",60.7707681548
"040500040504",55.5281954748
"040500040705",66.0254396544
"040500030801",73.0296968897
"040500020404",48.5245016635
"040802030102",70.0158283227
"040900030102",59.7009417204
"040500070207",75.7402155161
"040500040407",65.9942995912
"040900020103",77.0758070607
"040500070405",60.9955086043
"040802030109",70.0431455461
"040500040704",91.9641174208
"040500070303",68.0023846922
"040500030806",66.2305370751
"040802030105",76.1498933069
"040900030308",44.0108993265
"040900030109",65.1039216249
"040500040604",83.9133647417
"040500040706",71.2233908321
"040500020403",64.1123779793
"040900020105",93.4104542547
"040900030101",77.2516637843
"040802030110",47.4252573186
"040900010307",8.32203671208
"040802030107",140.619234375
"040900030310",84.1002820375
"040900010407",88.4704036419
"040500030809",90.9223147674
"040500070301",64.6974891114
"040500020408",62.6989626011
"040500040601",47.893031568
"040802030111",64.6330134708
"040500040708",57.1864343291
"040500040608",78.2584775733
"040500040611",76.9159327475
"040802030108",71.6011594777
"040802030202",55.4430102044
"040500060508",55.6664755539
"040900030107",64.6692296122
"040500070304",71.9107783337
"040900030104",50.0546699378
"040500040709",89.4422197003
"040900030106",61.5875255141
"040500040610",76.1585105633
"040500070307",109.049621941
"040500020406",54.7654770856
"040500040605",65.6038767922
"040500020401",48.0078331168
"040500020405",67.7557294217
"040500070306",76.6633605481
"040802040302",83.4011852385
"040900030302",40.9156109676
"040500070305",46.2451428734
"040900030105",53.1213899844
"040500070407",115.259510217
"040500040607",44.5628036136
"040802040404",81.0821312534
"040500040609",60.6257129502
"040500060509",73.2484136138
"040500040612",71.7343439621
"040500040606",45.5566626815
"040500020407",44.9822346478
"040500040603",69.626735599
"040500020301",13.0983747482
"040500060505",67.5033593402
"040900030306",71.9957345496
"040900030305",66.822807416
"040500060510",75.5048013751
"040500040602",86.9840552007
"040500060511",80.7455455305
"040900010305",72.7455845549
"040900010306",80.2274127589
"040802040303",90.356785807
"040900010406",108.237881221
"040500060311",73.5868175177
"040900030304",73.292683917
"040900030303",76.1361354641
"040802030201",65.6081800505
"040900030301",56.0657822793
"040802030203",91.5669911767
"040802040301",52.0273870157
"040500050404",96.4910993302
"040500060301",87.008537549
"040900010303",51.2499106404
"040500050402",49.4602987253
"040500070408",51.9010293444
"040802040101",113.461317525
"040500060308",44.4190237095
"040802030205",81.7171787473
"040500020303",69.337210663
"040500020302",90.5766442983
"040500060706",59.0542096378
"040500050101",83.7808013076
"040802030204",48.2486087832
"040900010307",55.5739506445
"040802040305",89.6476722586
"040802040304",53.4473722401
"040500060302",55.4533506496
"040500060506",80.094429972
"040802040405",78.1476354924
